Country Name,Country Code,min,max,mean,latest year,latest GDP,Yearly sunshine hours
Somalia,SOM,65.4795973166728,188.661113014056,110.83609857888509,1990,126.924920542559,3103.0
Eritrea,ERI,208.999946733221,642.507659063694,364.54233888596934,2011,642.507659063694,3361.0
South Sudan,SSD,1119.6513326782301,1779.4693342398002,1432.6459162814126,2015,1119.6513326782301,2841.3
Faroe Islands,FRO,22653.316046635202,64269.704254102806,43374.40418866637,2018,64269.704254102806,840.0
Afghanistan,AFG,58.458014949543895,641.871479157538,282.9661499338147,2019,507.103431871987,3175.1
Angola,AGO,328.673294707808,5408.41049555432,1836.0278426666496,2019,2790.72661520665,2341.0
Albania,ALB,200.852219772323,5353.2448564014,2256.33000807381,2019,5353.2448564014,2544.0
United Arab Emirates,ARE,22295.1461115987,44987.2097966579,33653.65494202349,2019,43103.3230583165,3508.7
Argentina,ARG,850.30473690206,14613.041824669599,5450.182698669059,2019,9912.28180859803,2240.325
Armenia,ARM,357.20327774567903,4622.733493286711,2047.3926077382582,2019,4622.733493286711,2474.0
Australia,AUS,1807.7857102120602,68150.1070413215,21886.00208979808,2019,55060.3261005013,2754.05
Austria,AUT,935.460426850415,51717.495940551504,21748.28993316177,2019,50137.6627762476,1884.0
Azerbaijan,AZE,397.198116117247,7891.31314749986,2945.742742842355,2019,4793.58701966989,2207.4
Burundi,BDI,51.381864652960395,305.549772797441,165.27336717040242,2019,261.247472515742,2373.4
Belgium,BEL,1273.69165910289,48106.892915788,20760.784648706882,2019,46420.6637668061,1546.0
Benin,BEN,93.02250899071069,1291.4098081857699,491.66891019981136,2019,1219.43267185875,2630.4666666666667
Burkina Faso,BFA,68.424748569325,813.096848960038,320.5800745129844,2019,786.895631290168,3209.0
Bangladesh,BGD,89.0352412832723,1855.7398240804603,433.20697725399873,2019,1855.7398240804603,2066.0
Bulgaria,BGR,1148.4943993817,9828.148514781391,3962.459313073032,2019,9828.148514781391,2177.0
Bosnia and Herzegovina,BIH,319.013035138564,6108.51069581338,3359.698817003461,2019,6108.51069581338,1769.0
Belarus,BLR,1210.6117195862,8318.51268992675,3756.648070028233,2019,6663.29529282582,1807.0
Bolivia,BOL,102.23789015598601,3552.0687602631,1073.0591575096164,2019,3552.0687602631,2288.9
Brazil,BRA,205.04076826426004,13245.612499544799,3874.3604859017482,2019,8717.18627810819,2204.3
Botswana,BWA,60.4925140705551,8279.60173877574,2873.8233408414517,2019,7961.32518123885,3426.6666666666665
Central African Republic,CAF,74.68734696988359,565.800696971217,302.0197692699502,2019,467.90744063633497,2546.5
Canada,CAN,2240.43303945853,52678.3901234772,21300.560566394324,2019,46194.7252255167,2028.0444444444447
Switzerland,CHE,1787.3603477020101,88415.6280324892,35312.10379860692,2019,81993.72712595,1566.0
Chile,CHL,505.34920121628096,15924.794239306399,5041.724369611183,2019,14896.453866578899,2648.54
China,CHN,70.90941166710071,10216.6303341031,1781.8399132208192,2019,10216.6303341031,2182.9800000000005
Cameroon,CMR,119.51917878772801,1542.62026621531,778.6861637219288,2019,1507.45020591288,2165.125
Colombia,COL,251.041522886697,8218.34784431477,2458.466450899536,2019,6428.676205627679,1589.6833333333334
Cyprus,CYP,976.3342447693401,35397.3636837901,15708.48354854146,2019,27858.3709958327,3314.1
Czech Republic,CZE,2896.6091306550397,23494.5962002944,12927.15773100386,2019,23494.5962002944,1668.0
Germany,DEU,2761.1668328933897,47959.9932737599,24810.3177376702,2019,46445.2491012508,1644.0
Djibouti,DJI,725.7425320694679,3414.92486968779,1300.800037451581,2019,3414.92486968779,3279.0
Denmark,DNK,2487.13618090884,64322.0635020842,29797.76122207293,2019,60170.3426365069,1739.0
Algeria,DZA,172.245997766356,5591.212353224039,2213.9183303594837,2019,3973.96407191565,3266.5
Ecuador,ECU,315.688244519312,6377.09153014217,2338.8719385610257,2019,6183.823824821729,1909.55
Spain,ESP,396.39225333761397,35366.259601198304,13147.204591998528,2019,29600.3782526602,2755.3333333333335
Estonia,EST,2681.82065319905,23723.306112847997,11835.765932094226,2019,23723.306112847997,1826.0
Ethiopia,ETH,111.927223529279,855.7608622808381,298.3601730425719,2019,855.7608622808381,2784.8500000000004
Finland,FIN,1179.3530109999401,53554.038922467305,21894.169240755393,2019,48782.7884755091,1858.0
Fiji,FJI,285.473560637195,6317.4878527697,2283.1052082071465,2019,6175.88872032104,1922.0
France,FRA,1334.69005583825,45334.1144358246,19808.29632377202,2019,40493.9285720456,2249.0
Gabon,GAB,282.413795136241,10809.646450590899,4530.380283375274,2019,7767.0134044078795,1720.1999999999998
United Kingdom,GBR,1397.5948032844,50566.8265956828,20151.680301857265,2019,42330.117537005,1530.0
Georgia,GEO,519.816187076762,4739.188338464211,2279.716998917284,2019,4697.7045759469,2046.0
Ghana,GHA,183.44956215049197,2345.39290574885,632.770255933062,2019,2202.11556738065,2367.5
Guinea,GIN,322.415681605527,962.839908587778,549.4393783942621,2019,962.839908587778,2440.0
Guinea-Bissau,GNB,109.331838924622,778.349910210043,325.5112333787003,2019,697.294926856786,2707.0
Equatorial Guinea,GNQ,34.790581358267104,22942.5834490967,4556.600259382593,2019,8131.92388810912,1548.95
Greece,GRC,520.322744310383,31997.2820241039,10820.380539626472,2019,19582.5359794936,2975.0
Honduras,HND,164.64472253942802,2574.91219067443,1068.330540619255,2019,2574.91219067443,2259.8
Croatia,HRV,4841.58673269484,16296.805923849799,10560.154795806919,2019,14936.100547343001,1913.0
Hungary,HUN,3350.25832349229,16731.8215139051,9682.843607995886,2019,16731.8215139051,1988.0
